layers,d_model,bs,seqlen,prec,compile,static,tps,mem_gb,energy_j,avg_power_w,overflow,env,times
4,128,1,256,fp32,True,True,7629.205361041246,0.692258358001709,12.117550000000001,80.78366666666666,1.0,"{'gpu': 'Tesla T4', 'mem_total_gb': 15.0, 'cc': '7.5', 'torch': '2.8.0+cu126'}","[0.034095158000013726, 0.0334094700000378, 0.03344645699996818, 0.03309587600006125, 0.033729358999949]"
4,128,1,256,fp32,True,False,7718.896693716282,0.692258358001709,10.41295,69.41966666666667,1.0,"{'gpu': 'Tesla T4', 'mem_total_gb': 15.0, 'cc': '7.5', 'torch': '2.8.0+cu126'}","[0.03336476199990557, 0.03295787599995492, 0.033835540000040965, 0.033121953999966536, 0.03254667600003813]"
4,128,1,256,fp32,False,True,4947.819522224226,0.6737284660339355,13.997050000000002,69.98525000000001,1.0,"{'gpu': 'Tesla T4', 'mem_total_gb': 15.0, 'cc': '7.5', 'torch': '2.8.0+cu126'}","[0.04956563500002176, 0.05015468999999939, 0.050816898999983096, 0.05794089299990901, 0.05022169899996243]"
4,128,1,256,fp32,False,False,4706.534519433113,0.6737284660339355,14.00345,70.01724999999999,1.0,"{'gpu': 'Tesla T4', 'mem_total_gb': 15.0, 'cc': '7.5', 'torch': '2.8.0+cu126'}","[0.05912510799998927, 0.05482035900001847, 0.05442262600001868, 0.05127167500006635, 0.05232254199995623]"
4,128,1,256,amp,True,True,10052.04122364777,0.6793026924133301,7.2281,72.281,65536.0,"{'gpu': 'Tesla T4', 'mem_total_gb': 15.0, 'cc': '7.5', 'torch': '2.8.0+cu126'}","[0.027097281999999723, 0.024439991000008376, 0.026023627999961718, 0.02441466200002651, 0.025361757999917245]"
4,128,1,256,amp,True,False,7697.966947087752,0.6793026924133301,10.2601,68.40066666666667,65536.0,"{'gpu': 'Tesla T4', 'mem_total_gb': 15.0, 'cc': '7.5', 'torch': '2.8.0+cu126'}","[0.032815814999935355, 0.035899023000069974, 0.03137136099996951, 0.031130557999972552, 0.035060911999948985]"
4,128,1,256,amp,False,True,3656.923452181909,0.6346640586853027,17.31465,57.7155,65536.0,"{'gpu': 'Tesla T4', 'mem_total_gb': 15.0, 'cc': '7.5', 'torch': '2.8.0+cu126'}","[0.06691715500005557, 0.06828797800005759, 0.06824403100006293, 0.07463764800002082, 0.07193418700001075]"
4,128,1,256,amp,False,False,4618.123823336815,0.6346640586853027,12.483799999999999,49.935199999999995,65536.0,"{'gpu': 'Tesla T4', 'mem_total_gb': 15.0, 'cc': '7.5', 'torch': '2.8.0+cu126'}","[0.05762398199999552, 0.05618342000002485, 0.05484485600004518, 0.05419335499993849, 0.05432322199999362]"
4,128,1,512,fp32,True,True,8922.179399015242,0.8281397819519043,17.493650000000002,69.9746,1.0,"{'gpu': 'Tesla T4', 'mem_total_gb': 15.0, 'cc': '7.5', 'torch': '2.8.0+cu126'}","[0.057465824000018983, 0.05807231199992202, 0.05786283600002662, 0.05674854999995205, 0.05677589000003991]"
4,128,1,512,fp32,True,False,8946.685564907917,0.8281397819519043,17.6204,70.4816,1.0,"{'gpu': 'Tesla T4', 'mem_total_gb': 15.0, 'cc': '7.5', 'torch': '2.8.0+cu126'}","[0.05788108400008696, 0.05756679000000986, 0.0570095709999805, 0.057388439999954244, 0.05629360000000361]"
4,128,1,512,fp32,False,True,7107.901419757622,0.7889161109924316,20.6199,68.73299999999999,1.0,"{'gpu': 'Tesla T4', 'mem_total_gb': 15.0, 'cc': '7.5', 'torch': '2.8.0+cu126'}","[0.07226150999997571, 0.07221240700005183, 0.07136003700009041, 0.07182690100000855, 0.07250170899999375]"
4,128,1,512,fp32,False,False,6985.225377903213,0.7889161109924316,20.65855,68.86183333333334,1.0,"{'gpu': 'Tesla T4', 'mem_total_gb': 15.0, 'cc': '7.5', 'torch': '2.8.0+cu126'}","[0.07936096499997802, 0.07179086600001483, 0.0714455799999314, 0.07285560499997246, 0.07103480099999615]"
4,128,1,512,amp,True,True,16649.75264256146,0.7982535362243652,5.408500000000001,54.08500000000001,65536.0,"{'gpu': 'Tesla T4', 'mem_total_gb': 15.0, 'cc': '7.5', 'torch': '2.8.0+cu126'}","[0.02983079800003452, 0.02896670699999504, 0.028995939999958864, 0.031715020999968146, 0.034247572000026594]"
4,128,1,512,amp,True,False,17471.791860289584,0.7982535362243652,6.68015,66.8015,65536.0,"{'gpu': 'Tesla T4', 'mem_total_gb': 15.0, 'cc': '7.5', 'torch': '2.8.0+cu126'}","[0.02986415100008344, 0.02899767899998551, 0.029330000999948425, 0.0291690799999742, 0.029160981000018182]"
4,128,1,512,amp,False,True,9352.241881071588,0.698237419128418,18.482000000000003,73.928,65536.0,"{'gpu': 'Tesla T4', 'mem_total_gb': 15.0, 'cc': '7.5', 'torch': '2.8.0+cu126'}","[0.05479429199999686, 0.05540336499996101, 0.0566332919999013, 0.05385798899999372, 0.05304221999995207]"
4,128,1,512,amp,False,False,9150.14729396203,0.698237419128418,13.764800000000001,68.824,65536.0,"{'gpu': 'Tesla T4', 'mem_total_gb': 15.0, 'cc': '7.5', 'torch': '2.8.0+cu126'}","[0.055835634000004575, 0.05634035200000653, 0.05431636499997694, 0.056406323999908636, 0.05687824200003888]"
4,128,2,64,fp32,True,True,5491.772196859199,0.6344766616821289,6.4750000000000005,64.75,1.0,"{'gpu': 'Tesla T4', 'mem_total_gb': 15.0, 'cc': '7.5', 'torch': '2.8.0+cu126'}","[0.023239619000037237, 0.02409814700001789, 0.023118434000025445, 0.02305592599998363, 0.023025846999985333]"
4,128,2,64,fp32,True,False,5487.577427998692,0.6344766616821289,8.914900000000001,89.149,1.0,"{'gpu': 'Tesla T4', 'mem_total_gb': 15.0, 'cc': '7.5', 'torch': '2.8.0+cu126'}","[0.02409386900001209, 0.022894588999974985, 0.02317313399998966, 0.023335424000038074, 0.02313004000006913]"
4,128,2,64,fp32,False,True,2551.0655765031047,0.6345152854919434,12.6292,63.146,1.0,"{'gpu': 'Tesla T4', 'mem_total_gb': 15.0, 'cc': '7.5', 'torch': '2.8.0+cu126'}","[0.048924896000016815, 0.04800581200004217, 0.04775619600002301, 0.059435916999973415, 0.046752737000019806]"
4,128,2,64,fp32,False,False,2646.9066482922085,0.6345152854919434,13.391,66.955,1.0,"{'gpu': 'Tesla T4', 'mem_total_gb': 15.0, 'cc': '7.5', 'torch': '2.8.0+cu126'}","[0.04749160300002586, 0.04856259600001067, 0.048066628000015044, 0.04926137099994321, 0.04840948000003209]"
4,128,2,64,amp,True,True,4701.870309237868,0.6268486976623535,7.1119,71.119,65536.0,"{'gpu': 'Tesla T4', 'mem_total_gb': 15.0, 'cc': '7.5', 'torch': '2.8.0+cu126'}","[0.025609675000055176, 0.02565444699996533, 0.028778626999951484, 0.027167672000018683, 0.028905625999982476]"
4,128,2,64,amp,True,False,4530.7103012580965,0.6268486976623535,7.1868,71.868,65536.0,"{'gpu': 'Tesla T4', 'mem_total_gb': 15.0, 'cc': '7.5', 'torch': '2.8.0+cu126'}","[0.025609518000010212, 0.03948525700002392, 0.02635772700000416, 0.024936033000017233, 0.024869668999940586]"
4,128,2,64,amp,False,True,2340.1492581564803,0.626887321472168,14.892700000000001,59.5708,65536.0,"{'gpu': 'Tesla T4', 'mem_total_gb': 15.0, 'cc': '7.5', 'torch': '2.8.0+cu126'}","[0.055744674000038685, 0.05429133699999511, 0.05457415299997592, 0.05406874499999503, 0.05480792000003021]"
4,128,2,64,amp,False,False,2319.221553866175,0.626887321472168,13.51665,67.58324999999999,65536.0,"{'gpu': 'Tesla T4', 'mem_total_gb': 15.0, 'cc': '7.5', 'torch': '2.8.0+cu126'}","[0.054626903999974274, 0.05501197299997784, 0.05577591099995516, 0.05731638899999325, 0.05322348499998952]"
4,128,2,128,fp32,True,True,7618.946395900425,0.6921210289001465,11.0043,73.36200000000001,1.0,"{'gpu': 'Tesla T4', 'mem_total_gb': 15.0, 'cc': '7.5', 'torch': '2.8.0+cu126'}","[0.03497281900001781, 0.03335412499995982, 0.03256563900004039, 0.03382889099998465, 0.03328075800004626]"
4,128,2,128,fp32,True,False,7434.894574057893,0.6921210289001465,8.5398,85.398,1.0,"{'gpu': 'Tesla T4', 'mem_total_gb': 15.0, 'cc': '7.5', 'torch': '2.8.0+cu126'}","[0.03580440500002169, 0.03292140000007748, 0.032278334000011455, 0.038737606000040614, 0.03241940500004148]"
4,128,2,128,fp32,False,True,5221.878068273158,0.6734528541564941,14.87245,74.36225,1.0,"{'gpu': 'Tesla T4', 'mem_total_gb': 15.0, 'cc': '7.5', 'torch': '2.8.0+cu126'}","[0.04922296400002324, 0.048649881999949685, 0.049036268999998356, 0.049405578000005335, 0.048807844000066325]"
4,128,2,128,fp32,False,False,5231.043225522991,0.6734528541564941,15.0638,75.31899999999999,1.0,"{'gpu': 'Tesla T4', 'mem_total_gb': 15.0, 'cc': '7.5', 'torch': '2.8.0+cu126'}","[0.04840767999996842, 0.050816405999967174, 0.048579798999980994, 0.047799552000014955, 0.04908962799993333]"
4,128,2,128,amp,True,True,8053.784937576621,0.6792340278625488,7.286300000000001,72.863,65536.0,"{'gpu': 'Tesla T4', 'mem_total_gb': 15.0, 'cc': '7.5', 'torch': '2.8.0+cu126'}","[0.03229513299993414, 0.02939269500006958, 0.031100617999982205, 0.02904243000000406, 0.03710060900004919]"
4,128,2,128,amp,True,False,7661.515719911772,0.6792340278625488,7.115,71.15,65536.0,"{'gpu': 'Tesla T4', 'mem_total_gb': 15.0, 'cc': '7.5', 'torch': '2.8.0+cu126'}","[0.032488150999938625, 0.0367006339999989, 0.03436363800005893, 0.03395986400005313, 0.029556481999975404]"
4,128,2,128,amp,False,True,4706.606720482812,0.6345715522766113,17.38585,69.54339999999999,65536.0,"{'gpu': 'Tesla T4', 'mem_total_gb': 15.0, 'cc': '7.5', 'torch': '2.8.0+cu126'}","[0.05644280899991827, 0.0537387359999002, 0.053788713000017196, 0.05467051499999798, 0.05331736499999806]"
4,128,2,128,amp,False,False,4616.464956966035,0.6345715522766113,12.6446,63.223,65536.0,"{'gpu': 'Tesla T4', 'mem_total_gb': 15.0, 'cc': '7.5', 'torch': '2.8.0+cu126'}","[0.05440090100000816, 0.0552199799999471, 0.05707373099994584, 0.0555067739999231, 0.05506704599997647]"
4,128,2,256,fp32,True,True,9052.22010789961,0.8276209831237793,14.710250000000002,73.55125000000001,1.0,"{'gpu': 'Tesla T4', 'mem_total_gb': 15.0, 'cc': '7.5', 'torch': '2.8.0+cu126'}","[0.05494942300003913, 0.06304634499997519, 0.05468093100000715, 0.05492867899999965, 0.05519817399999738]"
4,128,2,256,fp32,True,False,9227.406816955327,0.8276209831237793,17.1761,68.70439999999999,1.0,"{'gpu': 'Tesla T4', 'mem_total_gb': 15.0, 'cc': '7.5', 'torch': '2.8.0+cu126'}","[0.0561555420000559, 0.05486727200002406, 0.055503225000052225, 0.056279203000030975, 0.054629149999982474]"
4,128,2,256,fp32,False,True,7231.3409117291485,0.7880597114562988,21.36435,71.2145,1.0,"{'gpu': 'Tesla T4', 'mem_total_gb': 15.0, 'cc': '7.5', 'torch': '2.8.0+cu126'}","[0.0726421859999391, 0.06960366600003454, 0.07083479899995382, 0.06994386399992436, 0.07099004899998818]"
4,128,2,256,fp32,False,False,7249.933153351341,0.7880597114562988,20.252450000000003,67.50816666666667,1.0,"{'gpu': 'Tesla T4', 'mem_total_gb': 15.0, 'cc': '7.5', 'torch': '2.8.0+cu126'}","[0.07065638999995372, 0.07045984400008365, 0.07070113899999342, 0.07179552899992814, 0.06949380200001087]"
4,128,2,256,amp,True,True,17609.882710182803,0.7979941368103027,7.709250000000001,77.0925,65536.0,"{'gpu': 'Tesla T4', 'mem_total_gb': 15.0, 'cc': '7.5', 'torch': '2.8.0+cu126'}","[0.030434768000077383, 0.02892468100003498, 0.028593950999947992, 0.028870497000070827, 0.0285490190000246]"
4,128,2,256,amp,True,False,17677.229451156814,0.7979941368103027,7.285299999999999,72.853,65536.0,"{'gpu': 'Tesla T4', 'mem_total_gb': 15.0, 'cc': '7.5', 'torch': '2.8.0+cu126'}","[0.029932327999972586, 0.028588281999986975, 0.02925652800001899, 0.028385782999976072, 0.028656152999928963]"
4,128,2,256,amp,False,True,8645.72388204407,0.6979913711547852,17.53405,70.1362,65536.0,"{'gpu': 'Tesla T4', 'mem_total_gb': 15.0, 'cc': '7.5', 'torch': '2.8.0+cu126'}","[0.056466020000016215, 0.07352354299996477, 0.05554995800002871, 0.05589199700000336, 0.05466861599995809]"
4,128,2,256,amp,False,False,8752.673044119656,0.6979913711547852,17.97605,71.9042,65536.0,"{'gpu': 'Tesla T4', 'mem_total_gb': 15.0, 'cc': '7.5', 'torch': '2.8.0+cu126'}","[0.054132224999989376, 0.05409949799991409, 0.05580348400008006, 0.07329225400007999, 0.05515461700008473]"
4,128,2,512,fp32,True,True,8589.81222199134,1.104337215423584,35.032000000000004,70.064,1.0,"{'gpu': 'Tesla T4', 'mem_total_gb': 15.0, 'cc': '7.5', 'torch': '2.8.0+cu126'}","[0.11115034599993123, 0.11670442000001913, 0.11344580799993764, 0.11598632000004727, 0.13876804500000617]"
4,128,2,512,fp32,True,False,8736.613104878788,1.104337215423584,34.28445,68.5689,1.0,"{'gpu': 'Tesla T4', 'mem_total_gb': 15.0, 'cc': '7.5', 'torch': '2.8.0+cu126'}","[0.10933242499993412, 0.1147557299999562, 0.1142841139999291, 0.11245385299991995, 0.1352133350000031]"
4,128,2,512,fp32,False,True,7241.375685267229,1.0181889533996582,40.0275,66.7125,1.0,"{'gpu': 'Tesla T4', 'mem_total_gb': 15.0, 'cc': '7.5', 'torch': '2.8.0+cu126'}","[0.14221590599993306, 0.1376410020000094, 0.13237043000003723, 0.15556311000000278, 0.13925752500006183]"
