layers,d_model,bs,seqlen,speedup_amp_over_fp32,mem_saving_pct,energy_gain_pct,tps_fp32,tps_amp,tokens_per_step,adj_amp,adj_fp32,ga_amp,ga_fp32
8,512,1,512,1.097674363587793,2.622306488738005,15.655842573198186,1875.4417744811026,2058.6243562495056,512,,,1,1
8,512,1,1024,1.2176916677272969,3.5545130625771333,41.45402551507895,2447.437553326851,2980.224315968988,1024,,,1,1
8,512,2,128,0.8829649198823405,1.3464491046431966,-4.95980558925555,1212.9482938302046,1070.9907930832082,256,,,1,1
8,512,2,256,1.1405958214147605,2.622306488738005,26.01509764476113,1879.8734113106034,2144.1757577295857,512,,,1,1
8,512,2,512,1.537715350426719,3.437691510153979,54.980635785161105,2545.1873791764574,3913.7737026719883,1024,,,1,1
8,512,2,1024,1.8850401076316876,8.794109207966457,87.41279438898329,2774.8433561798615,5230.6910187943595,2048,,,1,1
8,512,4,128,0.8784822285929713,2.622306488738005,-2.681476328632937,1894.3513196572194,1664.1539690305103,512,,,1,1
8,512,4,256,1.5141992538662554,3.3790499823930107,52.253446346845365,2585.587835080672,3915.0951706848205,1024,,,1,1
8,512,4,512,1.7579416610546958,8.655431443359035,100.80878837904095,2971.224581963186,5223.239476982908,2048,,,1,1
8,512,8,128,1.445632181852192,3.34970718976821,52.91908939224981,2702.7902708149063,3907.24059628703,1024,,,1,1
8,512,8,256,2.070960715637432,8.585753112453864,113.15077119959724,3019.489485537593,6253.244105828634,2048,,,1,1
8,512,8,512,3.0960120826409714,-7.642201398024813,224.9346212774351,2583.819825572769,7999.537399340579,4096,,ckpt,1,1
12,256,1,128,0.6650805242713652,1.1292789101168625,-25.79702237785513,591.4713780965369,393.37609423595165,128,,,1,1
12,256,1,256,0.8514481179668815,2.2087147964172384,-12.213096056921858,1182.619521876544,1006.9391661726766,256,,,1,1
12,256,1,512,0.820266438107966,2.852614051338324,-9.457955506156612,2238.7728528166913,1836.390233712757,512,,,1,1
12,256,1,1024,1.0371659098555306,8.792934401251541,25.896717106843738,3427.697136118992,3555.090618892051,1024,,,1,1
12,256,2,128,1.0711293261661496,2.2087147964172384,8.95500754735492,912.0414559553849,976.9143501530854,256,,,1,1
12,256,2,256,1.0058074763621812,2.773195196666168,0.5724518185199257,1957.0117350953872,1968.377034487465,512,,,1,1
12,256,2,512,1.0225101044149147,8.603317028911643,13.138636352966703,3567.6242259171668,3647.9318197557413,1024,,,1,1
12,256,2,1024,1.463280194209996,13.64272967358521,51.9909236351737,4205.6277051665065,6154.011725190985,2048,,,1,1
12,256,4,128,0.8758150006002547,2.7335521857718112,8.67745199047636,2110.2123946647844,1848.155669700003,512,,,1,1
12,256,4,256,0.9776687759098684,8.507782278096657,15.978039104199704,3626.4421444345953,3545.4592522573294,1024,,,1,1
12,256,4,512,1.3619490799674676,13.437360005934742,42.13850044411351,4573.767164525776,6229.237981711293,2048,,,1,1
12,256,8,128,1.3057030890242647,8.460036151805982,44.060341728596676,2734.247712319579,3570.115684133203,1024,,,1,1
12,256,8,256,1.4353005965085597,13.333869670152856,52.21387195642153,4385.43799779011,6294.421774179448,2048,,,1,1
12,256,8,512,2.2257965539906475,-9.291577356198857,119.19367574270825,4333.410149187547,9645.28937708974,4096,,ckpt,1,1
12,512,1,128,1.1176495689540673,0.5620880987212241,15.835381074205369,353.5096522463893,395.0999104542792,128,,,1,1
12,512,1,256,0.7944429097528852,1.1117003214672694,-16.36648292901959,901.5005371105115,716.1907098458636,256,,,1,1
12,512,1,512,1.0176098943817373,2.1750607396803896,6.6927235807026975,1491.3507216348512,1517.6132503289687,512,,,1,1
12,512,1,1024,1.443807517212021,3.221709175933738,49.620704248657056,1969.8400553205963,2844.0698795772205,1024,,,1,1
12,512,2,128,0.8610146814078751,1.1117003214672694,-4.151644191593295,912.7177168495695,785.8633541885551,256,,,1,1
12,512,2,256,0.8239490169142539,2.1750607396803896,-1.2458482662307424,1539.214914902337,1268.2346159535375,512,,,1,1
12,512,2,512,1.4307206904198355,3.0696411614067594,44.38920328714564,2057.733794221175,2944.042314768347,1024,,,1,1
12,512,2,1024,2.068177544908379,8.975049471316044,107.26717625118947,2296.567742455474,4749.709835307341,2048,,,1,1
12,512,4,128,0.9012321466498664,2.1750607396803896,6.872075703909841,1523.6494375256736,1373.1618533231244,512,,,1,1
12,512,4,256,1.3515924996680488,2.9932755182488524,38.414422966870674,2151.690274783996,2908.208437006732,1024,,,1,1
12,512,4,512,1.9897537975434667,8.793740517795355,106.63893648292256,2439.4535979281736,4853.9120604086565,2048,,,1,1
12,512,8,128,1.3264071058380917,2.9549430152185296,32.13532575745184,2213.219657158392,2935.630280035436,1024,,,1,1
12,512,8,256,1.7754588268966107,8.702471157563586,85.76790647620433,2499.8263017826494,4438.338673208315,2048,,,1,1
12,512,8,512,2.440853266047096,7.700452580102832,153.65345236876914,2158.3279162491554,5268.161743577374,4096,ckpt,ckpt,1,1
